JOUR_TRAITEMENT;DMC_SECONDE
"2026-04-25 00:00:00";18
"2026-04-26 00:00:00";18
"2026-04-27 00:00:00";22
"2026-04-28 00:00:00";20
"2026-04-29 00:00:00";22
"2026-04-30 00:00:00";20
"2026-05-01 00:00:00";20
"2026-05-02 00:00:00";21
"2026-05-03 00:00:00";17
"2026-05-04 00:00:00";20
"2026-05-05 00:00:00";20
"2026-05-06 00:00:00";22
"2026-05-07 00:00:00";20
"2026-05-08 00:00:00";20
"2026-05-09 00:00:00";18
"2026-05-10 00:00:00";19
"2026-05-11 00:00:00";22
"2026-05-12 00:00:00";21
"2026-05-13 00:00:00";21
"2026-05-14 00:00:00";21
"2026-05-15 00:00:00";20
"2026-05-16 00:00:00";21
"2026-05-17 00:00:00";19
"2026-05-18 00:00:00";20
"2026-05-19 00:00:00";21
"2026-05-20 00:00:00";22
"2026-05-21 00:00:00";21
"2026-05-22 00:00:00";22
"2026-05-23 00:00:00";18
"2026-05-24 00:00:00";18
"2026-05-25 00:00:00";21
"2026-05-26 00:00:00";21
"2026-05-27 00:00:00";15
"2026-05-28 00:00:00";16
"2026-05-29 00:00:00";16
"2026-05-30 00:00:00";15
"2026-05-31 00:00:00";15
"2026-06-01 00:00:00";15
"2026-06-02 00:00:00";16
"2026-06-03 00:00:00";16
"2026-06-04 00:00:00";17
"2026-06-05 00:00:00";16
"2026-06-06 00:00:00";15
"2026-06-07 00:00:00";15
"2026-06-08 00:00:00";15
"2026-06-09 00:00:00";18
