JOUR_TRAITEMENT;DUREE_TOTAL_CALCUL_MIN
2026-04-25 00:00:00;306
2026-04-26 00:00:00;311
2026-04-27 00:00:00;434
2026-04-28 00:00:00;360
2026-04-29 00:00:00;404
2026-04-30 00:00:00;353
2026-05-01 00:00:00;354
2026-05-02 00:00:00;366
2026-05-03 00:00:00;303
2026-05-04 00:00:00;398
2026-05-05 00:00:00;365
2026-05-06 00:00:00;354
2026-05-07 00:00:00;360
2026-05-08 00:00:00;352
2026-05-09 00:00:00;320
2026-05-10 00:00:00;333
2026-05-11 00:00:00;446
2026-05-12 00:00:00;376
2026-05-13 00:00:00;378
2026-05-14 00:00:00;362
2026-05-15 00:00:00;360
2026-05-16 00:00:00;365
2026-05-17 00:00:00;328
2026-05-18 00:00:00;398
2026-05-19 00:00:00;377
2026-05-20 00:00:00;397
2026-05-21 00:00:00;360
2026-05-22 00:00:00;395
2026-05-23 00:00:00;322
2026-05-24 00:00:00;323
2026-05-25 00:00:00;385
2026-05-26 00:00:00;369
2026-05-27 00:00:00;264
2026-05-28 00:00:00;284
2026-05-29 00:00:00;281
2026-05-30 00:00:00;253
2026-05-31 00:00:00;257
2026-06-01 00:00:00;304
2026-06-02 00:00:00;296
2026-06-03 00:00:00;292
2026-06-04 00:00:00;299
2026-06-05 00:00:00;286
2026-06-06 00:00:00;258
2026-06-07 00:00:00;262
2026-06-08 00:00:00;300
2026-06-09 00:00:00;280
