QRST_RES_NAME;PREMIERE_OCCURENCE;NB_MATCH;QRST_DATA_COUNT
ENT_SEGA_CELAN;2026-06-04 00:00:00;4;38602
OSS_TRANSPORT_FTTH_ENT;2026-06-04 00:00:00;4;70645
OSS_NRM_IP_ADDRESS_AUDIT;2026-06-04 00:00:00;4;6015506
OSS_CS0_IPTV;2026-06-04 00:00:00;4;3566760
OSS_CMDENCOURS;2026-06-04 00:00:00;4;1380
OSS_TRANSPORT_FTTH;2026-06-04 00:00:00;4;3678848
OSS_SERVICES_TRANSPORT;2026-06-04 00:00:00;4;3796976
OSS_NRM_DSLAM_CFG;2026-06-04 00:00:00;4;5117
SPI_ST_PFS_AGN;2026-06-04 00:00:00;4;9041
BSS_SC_IPTV_REF;2026-06-04 00:00:00;4;308
PFS_VCAS_PKG_MAP;2026-06-04 00:00:00;4;341
SPI_RES_PTO_REFLIGMARCHE;2026-06-04 00:00:00;4;3
BSS_EQPT_OB1;2026-06-04 00:00:00;4;257
SPI_ST_LAC_COMMENT;2026-06-04 00:00:00;4;72
PFS_OLT_NOKIA_CARTE;2026-06-04 00:00:00;3;9379
OSS_SERVICES_ENT;2026-06-04 00:00:00;4;122982
SPI_RES_PTO_REFINSTALLER;2026-06-04 00:00:00;4;6
SPI_RES_PTO_SIO2CPAABO;2026-06-04 00:00:00;4;14458356
BSS_STOCK_EQPT;2026-06-04 00:00:00;4;30470736
SPI_RES_PTO_VISIONOI;2026-06-04 00:00:00;4;14989290
SIR_LISTEPE;2026-06-04 00:00:00;4;2954
SPI_RES_PTO_CODE_OC;2026-06-04 00:00:00;4;13
SPI_RES_PTO_CODE_OI;2026-06-04 00:00:00;4;98
OSS_NRM_TMP_XDSL_LNS;2026-06-04 00:00:00;4;1
OSS_NRM_POOLIP;2026-06-04 00:00:00;4;3697
SPI_RES_PTO_SIO2CPAFACT;2026-06-04 00:00:00;4;7865901
SPI_RES_PTO_REJETS;2026-06-04 00:00:00;4;40522
SIR_ND_PEDESTAL;2026-06-04 00:00:00;4;29
SPI_CONF_OPTION_TV;2026-06-04 00:00:00;4;160
ENT_OSS_XDSL_ACCES;2026-06-04 00:00:00;4;202859
PFS_SMV_OPTION_MAP;2026-06-04 00:00:00;4;326
BSS_OFFRE_FAMILLE_VENTE;2026-06-04 00:00:00;4;27640
PFS_DSLAM_ERR;2026-06-04 00:00:00;3;22
MOB_ESIM_M2M;2026-06-04 00:00:00;4;208630
MOB_ESIM;2026-06-04 00:00:00;4;3116287
OSS_NRM_DSLAM;2026-06-04 00:00:00;4;9786
SPI_RES_PTO_REF_STATUTPA;2026-06-04 00:00:00;4;4
OSS_NRM_IP_ADDRESS;2026-06-04 00:00:00;4;7595219
PFS_BSR_POOLIP;2026-06-05 00:00:00;3;5770
SPI_RES_PORT_PON;2026-06-05 00:00:00;3;47188373
